RUS,3.91E+11,4.81E+11
RWA,1121586765,2259247343
SAS,5.01E+11,6.27E+11
SAU,2.18E+11,2.86E+11
SDN,6078916177,2341152056
SEN,4030818402,5374064530
SGP,5.49E+11,6.46E+11
SLB,520455557.4,
SLE,816852288.8,659056080.2
SLV,6911040000,7982940000
SMR,2476172232,
SOM,1037964070,1120361324
SRB,17915468416,26277886092
SSA,3.50E+11,4.08E+11
SSD,4397355863,
SSF,3.57E+11,4.14E+11
SST,2.68E+11,2.97E+11
STP,,
SUR,,
SVK,81400844579,97132332034
SVN,33243499233,45367241858
SWE,2.21E+11,2.50E+11
SWZ,1751537858,2052248997
SXM,1220502793,
SYC,1117028068,1368168575
SYR,,
TCA,,
TCD,3285310490,4157368099
TEA,3.33E+12,3.87E+12
TEC,1.20E+12,1.54E+12
TGO,1498688203,1650459199
THA,2.71E+11,3.25E+11
TJK,823936006.2,
TKM,12771714286,
TLA,1.11E+12,1.30E+12
TLS,48508500,568087700
TMN,3.31E+11,4.98E+11
TON,78416242.09,107858180.4
TSA,5.01E+11,6.27E+11
TSS,3.57E+11,4.14E+11
TTO,,
TUN,17302355220,19126158670
TUR,2.12E+11,2.49E+11
TUV,,
TZA,8104067362,
UGA,4170603024,6047736389
UKR,47880172307,63315071037
UMC,5.09E+12,5.98E+12
URY,11974918858,12175334398
USA,2.27E+12,2.51E+12
UZB,12548905306,18070469614
VCT,,
VEN,,
VGB,,
VIR,2795000000,
VNM,1.73E+11,2.80E+11
VUT,,
WLD,2.13E+13,2.49E+13
WSM,223684831.5,316413903.7
XKX,1413402863,2315661666
YEM,,
ZAF,95771761550,1.05E+11
ZMB,7889462954,8073610874
ZWE,3824969000,
