PSE,7645459558,9153105315
PSS,5072361756,
PST,1.26094E+13,1.44939E+13
PYF,1922497429,
QAT,59271428571,66769780220
ROU,74617054605,1.10727E+11
RUS,2.81789E+11,3.53254E+11
RWA,2938738012,3737046615
SAS,6.29231E+11,7.91156E+11
SAU,2.47307E+11,2.18941E+11
SDN,10146887080,9786877800
SEN,6288404327,
SGP,4.65345E+11,5.41855E+11
SLB,620304980,752908760.3
SLE,2229509573,1818020795
SLV,10925078972,12872829178
SMR,,
SOM,,
SRB,20677312927,31286372739
SSA,4.53246E+11,4.97885E+11
SSD,3296280000,3067350000
SSF,4.61237E+11,5.06973E+11
SST,2.38285E+11,2.79052E+11
STP,186038784.7,190833274.6
SUR,2681640376,2412714911
SVK,78718984786,96752659836
SVN,29704637777,40798794977
SWE,2.01164E+11,2.32791E+11
SWZ,1690359266,1926374040
SXM,1133251397,1230630821
SYC,1420872754,1792510447
SYR,,
TCA,454557686.1,
TCD,,
TEA,2.8997E+12,3.6312E+12
TEC,1.09855E+12,1.38776E+12
TGO,2417102321,
THA,2.29766E+11,2.72831E+11
TJK,3324910990,3408834755
TKM,,
TLA,1.18E+12,1.26338E+12
TLS,1319666300,1039469717
TMN,4.45311E+11,4.88451E+11
TON,256898985.4,327394944.2
TSA,6.29231E+11,7.91156E+11
TSS,4.61237E+11,5.06973E+11
TTO,10444837675,7930095206
TUN,22179723444,23420774028
TUR,2.29374E+11,2.27059E+11
TUV,,
TZA,12472182539,10361721483
UGA,7333706114,9540590225
UKR,50224000000,76067000000
UMC,4.66961E+12,5.48607E+12
URY,13911870985,12923845476
USA,2.77101E+12,3.10513E+12
UZB,14669224766,26550823046
VCT,416602934.1,
VEN,47102000000,
VGB,,
VIR,,
VNM,1.70658E+11,2.61683E+11
VUT,480110656.4,
WLD,2.0752E+13,2.42361E+13
WSM,371598400,
XKX,3243450953,4453675793
YEM,7697439204,
ZAF,1.00159E+11,1.03117E+11
ZMB,8868614491,8035710383
ZWE,7503864558,
